"iter","loss","grad_norm","eta","speed","kappa","lambda_max","costo_local"
0,0.000569274695467809,0.0153395460868169,0.1,0.00153395460868169,1.21334604580483,1.4862618535032,0.000547172273905477
1,0.000547172273905477,0.0135047360714771,0.1,0.00135047360714771,1.14064080279998,1.48659679765967,0.000529974770655331
2,0.000529974770655331,0.0119919023025169,0.1,0.00119919023025169,1.0554008056494,1.48689432745658,0.000516353154747911
5,0.000496241907252418,0.00894303645428392,0.1,0.000894303645428393,0.746753246935179,1.48761232353613,0.000488542755704302
10,0.000465725779648662,0.00682418835375564,0.1,0.000682418835375564,0.301572562221002,1.48841410122007,0.000461139042753742
25,0.000410020727513826,0.00567052524002788,0.1,0.000567052524002788,0.0630879864722376,1.48937268739431,0.000406815382192169
50,0.000340288711656391,0.00489807626000445,0.1,0.000489807626000445,0.0565724674151081,1.48922170489044,0.000337896380921967
75,0.000287857473927432,0.0042583649608356,0.1,0.00042583649608356,0.055179533959046,1.48853605514331,0.000286049108468878
100,0.000248111289482336,0.00371327012265456,0.1,0.000371327012265457,0.0541280672571092,1.48780078545199,0.000246736182804285
