"escenario","t_origen","t_objetivo","s","s_target"
"base",1,2,-0.761594155955765,-0.739202088998597
"base",2,3,-0.739202088998597,-0.715047069589021
"base",3,4,-0.715047069589021,-0.689054805687363
"base",4,5,-0.689054805687363,-0.661160049762911
"base",5,6,-0.661160049762911,-0.631309103158359
"base",6,7,-0.631309103158359,-0.599462456888158
"base",7,8,-0.599462456888158,-0.565597495399194
"base",8,9,-0.565597495399194,-0.529711169485922
"base",9,10,-0.529711169485922,-0.491822525420608
"base",10,11,-0.491822525420608,-0.451974961446917
"base",11,12,-0.451974961446917,-0.410238072369237
"base",12,13,-0.410238072369237,-0.366708940375566
"base",13,14,-0.366708940375566,-0.321512737531634
"base",14,15,-0.321512737531634,-0.27480252404547
"base",15,16,-0.27480252404547,-0.226758156925052
"base",16,17,-0.226758156925052,-0.177584265268619
"base",17,18,-0.177584265268619,-0.127507298933957
"base",18,19,-0.127507298933957,-0.0767717131252814
"base",19,20,-0.0767717131252814,-0.0256354077834247
"base",20,21,-0.0256354077834247,0.0256354077834246
"base",21,22,0.0256354077834246,0.0767717131252813
"base",22,23,0.0767717131252813,0.127507298933957
"base",23,24,0.127507298933957,0.177584265268619
"base",24,25,0.177584265268619,0.226758156925052
"base",25,26,0.226758156925052,0.27480252404547
"base",26,27,0.27480252404547,0.321512737531634
"base",27,28,0.321512737531634,0.366708940375566
"base",28,29,0.366708940375566,0.410238072369237
"base",29,30,0.410238072369237,0.451974961446917
"base",30,31,0.451974961446917,0.491822525420608
"base",31,32,0.491822525420608,0.529711169485922
"base",32,33,0.529711169485922,0.565597495399194
"base",33,34,0.565597495399194,0.599462456888158
"base",34,35,0.599462456888158,0.631309103158359
"base",35,36,0.631309103158359,0.661160049762911
"base",36,37,0.661160049762911,0.689054805687363
"base",37,38,0.689054805687363,0.715047069589021
"base",38,39,0.715047069589021,0.739202088998597
"base",39,40,0.739202088998597,0.761594155955765
"recuperacion",1,2,-0.761594155955765,-0.739202088998597
"recuperacion",2,3,-0.739202088998597,-0.715047069589021
"recuperacion",3,4,-0.715047069589021,-0.689054805687363
"recuperacion",4,5,-0.689054805687363,-0.661160049762911
"recuperacion",5,6,-0.661160049762911,-0.631309103158359
"recuperacion",6,7,-0.631309103158359,-0.599462456888158
"recuperacion",7,8,-0.599462456888158,-0.565597495399194
"recuperacion",8,9,-0.565597495399194,-0.529711169485922
"recuperacion",9,10,-0.529711169485922,-0.491822525420608
"recuperacion",10,11,-0.491822525420608,-0.451974961446917
"recuperacion",11,12,-0.451974961446917,-0.410238072369237
"recuperacion",12,13,-0.410238072369237,-0.366708940375566
"recuperacion",13,14,-0.366708940375566,-0.321512737531634
"recuperacion",14,15,-0.321512737531634,-0.27480252404547
"recuperacion",15,16,-0.27480252404547,-0.226758156925052
"recuperacion",16,17,-0.226758156925052,-0.177584265268619
"recuperacion",17,18,-0.177584265268619,-0.127507298933957
"recuperacion",18,19,-0.127507298933957,-0.0767717131252814
"recuperacion",19,20,-0.0767717131252814,-0.0256354077834247
"recuperacion",20,21,-0.0256354077834247,0.125635407783425
"recuperacion",21,22,0.125635407783425,0.176771713125281
"recuperacion",22,23,0.176771713125281,0.227507298933957
"recuperacion",23,24,0.227507298933957,0.277584265268619
"recuperacion",24,25,0.277584265268619,0.326758156925052
"recuperacion",25,26,0.326758156925052,0.37480252404547
"recuperacion",26,27,0.37480252404547,0.421512737531634
"recuperacion",27,28,0.421512737531634,0.466708940375566
"recuperacion",28,29,0.466708940375566,0.510238072369237
"recuperacion",29,30,0.510238072369237,0.551974961446917
"recuperacion",30,31,0.551974961446917,0.591822525420608
"recuperacion",31,32,0.591822525420608,0.629711169485922
"recuperacion",32,33,0.629711169485922,0.665597495399194
"recuperacion",33,34,0.665597495399194,0.699462456888158
"recuperacion",34,35,0.699462456888158,0.731309103158359
"recuperacion",35,36,0.731309103158359,0.761160049762911
"recuperacion",36,37,0.761160049762911,0.789054805687363
"recuperacion",37,38,0.789054805687363,0.815047069589021
"recuperacion",38,39,0.815047069589021,0.839202088998596
"recuperacion",39,40,0.839202088998596,0.861594155955765
"shock",1,2,-0.761594155955765,-0.739202088998597
"shock",2,3,-0.739202088998597,-0.715047069589021
"shock",3,4,-0.715047069589021,-0.689054805687363
"shock",4,5,-0.689054805687363,-0.661160049762911
"shock",5,6,-0.661160049762911,-0.631309103158359
"shock",6,7,-0.631309103158359,-0.599462456888158
"shock",7,8,-0.599462456888158,-0.565597495399194
"shock",8,9,-0.565597495399194,-0.529711169485922
"shock",9,10,-0.529711169485922,-0.491822525420608
"shock",10,11,-0.491822525420608,-0.451974961446917
"shock",11,12,-0.451974961446917,-0.410238072369237
"shock",12,13,-0.410238072369237,-0.366708940375566
"shock",13,14,-0.366708940375566,-0.321512737531634
"shock",14,15,-0.321512737531634,-0.27480252404547
"shock",15,16,-0.27480252404547,-0.226758156925052
"shock",16,17,-0.226758156925052,-0.177584265268619
"shock",17,18,-0.177584265268619,-0.127507298933957
"shock",18,19,-0.127507298933957,-0.0767717131252814
"shock",19,20,-0.0767717131252814,-0.0256354077834247
"shock",20,21,-0.0256354077834247,-0.124364592216575
"shock",21,22,-0.124364592216575,-0.0732282868747187
"shock",22,23,-0.0732282868747187,-0.0224927010660433
"shock",23,24,-0.0224927010660433,0.0275842652686186
"shock",24,25,0.0275842652686186,0.0767581569250519
"shock",25,26,0.0767581569250519,0.12480252404547
"shock",26,27,0.12480252404547,0.171512737531634
"shock",27,28,0.171512737531634,0.216708940375566
"shock",28,29,0.216708940375566,0.260238072369237
"shock",29,30,0.260238072369237,0.301974961446917
"shock",30,31,0.301974961446917,0.341822525420608
"shock",31,32,0.341822525420608,0.379711169485922
"shock",32,33,0.379711169485922,0.415597495399194
"shock",33,34,0.415597495399194,0.449462456888158
"shock",34,35,0.449462456888158,0.481309103158359
"shock",35,36,0.481309103158359,0.511160049762911
"shock",36,37,0.511160049762911,0.539054805687363
"shock",37,38,0.539054805687363,0.565047069589021
"shock",38,39,0.565047069589021,0.589202088998596
"shock",39,40,0.589202088998596,0.611594155955765
